------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                                  Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                                   
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
as_strided                            0.00%            3.519us          0.00%            3.519us          3.519us          0.00%            4.096us          4.096us          1                []                                             
addmm                                 0.02%            166.145us        0.03%            210.356us        210.356us        0.01%            209.856us        209.856us        1                []                                             
empty                                 0.00%            5.759us          0.00%            5.759us          5.759us          0.00%            5.120us          5.120us          1                []                                             
size                                  0.00%            2.773us          0.00%            2.773us          2.773us          0.00%            3.008us          3.008us          1                []                                             
size                                  0.00%            2.454us          0.00%            2.454us          2.454us          0.00%            2.048us          2.048us          1                []                                             
expand                                0.00%            7.256us          0.00%            10.931us         10.931us         0.00%            11.232us         11.232us         1                []                                             
as_strided                            0.00%            3.675us          0.00%            3.675us          3.675us          0.00%            3.072us          3.072us          1                []                                             
resize_                               0.00%            13.261us         0.00%            13.261us         13.261us         0.00%            13.312us         13.312us         1                []                                             
stride                                0.00%            4.301us          0.00%            4.301us          4.301us          0.00%            2.048us          2.048us          1                []                                             
stride                                0.00%            2.365us          0.00%            2.365us          2.365us          0.00%            3.072us          3.072us          1                []                                             
stride                                0.00%            2.367us          0.00%            2.367us          2.367us          0.00%            2.048us          2.048us          1                []                                             
t                                     0.00%            25.543us         0.00%            36.186us         36.186us         0.00%            35.840us         35.840us         1                []                                             
transpose                             0.00%            6.625us          0.00%            10.643us         10.643us         0.00%            10.240us         10.240us         1                []                                             
as_strided                            0.00%            4.018us          0.00%            4.018us          4.018us          0.00%            4.096us          4.096us          1                []                                             
addmm                                 0.02%            117.328us        0.02%            152.851us        152.851us        0.01%            152.576us        152.576us        1                []                                             
empty                                 0.00%            5.300us          0.00%            5.300us          5.300us          0.00%            5.120us          5.120us          1                []                                             
size                                  0.00%            2.762us          0.00%            2.762us          2.762us          0.00%            2.048us          2.048us          1                []                                             
size                                  0.00%            2.367us          0.00%            2.367us          2.367us          0.00%            2.048us          2.048us          1                []                                             
expand                                0.00%            6.542us          0.00%            9.928us          9.928us          0.00%            10.240us         10.240us         1                []                                             
as_strided                            0.00%            3.386us          0.00%            3.386us          3.386us          0.00%            3.072us          3.072us          1                []                                             
resize_                               0.00%            6.574us          0.00%            6.574us          6.574us          0.00%            7.168us          7.168us          1                []                                             
stride                                0.00%            3.822us          0.00%            3.822us          3.822us          0.00%            2.048us          2.048us          1                []                                             
stride                                0.00%            2.418us          0.00%            2.418us          2.418us          0.00%            2.048us          2.048us          1                []                                             
stride                                0.00%            2.352us          0.00%            2.352us          2.352us          0.00%            2.048us          2.048us          1                []                                             
add                                   0.01%            46.041us         0.01%            53.173us         53.173us         0.00%            52.288us         52.288us         1                []                                             
empty                                 0.00%            7.132us          0.00%            7.132us          7.132us          0.00%            7.168us          7.168us          1                []                                             
squeeze                               0.00%            32.756us         0.01%            36.453us         36.453us         0.00%            34.912us         34.912us         1                []                                             
as_strided                            0.00%            3.697us          0.00%            3.697us          3.697us          0.00%            4.096us          4.096us          1                []                                             
chunk                                 0.00%            12.100us         0.02%            150.687us        150.687us        0.01%            149.504us        149.504us        1                []                                             
size                                  0.00%            2.772us          0.00%            2.772us          2.772us          0.00%            2.976us          2.976us          1                []                                             
split                                 0.01%            54.136us         0.02%            135.815us        135.815us        0.01%            136.128us        136.128us        1                []                                             
size                                  0.00%            2.571us          0.00%            2.571us          2.571us          0.00%            3.072us          3.072us          1                []                                             
narrow                                0.00%            9.658us          0.00%            22.295us         22.295us         0.00%            21.536us         21.536us         1                []                                             
size                                  0.00%            2.474us          0.00%            2.474us          2.474us          0.00%            2.048us          2.048us          1                []                                             
slice                                 0.00%            6.824us          0.00%            10.163us         10.163us         0.00%            10.240us         10.240us         1                []                                             
as_strided                            0.00%            3.339us          0.00%            3.339us          3.339us          0.00%            4.032us          4.032us          1                []                                             
narrow                                0.00%            7.944us          0.00%            19.079us         19.079us         0.00%            19.456us         19.456us         1                []                                             
size                                  0.00%            2.500us          0.00%            2.500us          2.500us          0.00%            2.048us          2.048us          1                []                                             
slice                                 0.00%            5.858us          0.00%            8.635us          8.635us          0.00%            9.216us          9.216us          1                []                                             
as_strided                            0.00%            2.777us          0.00%            2.777us          2.777us          0.00%            3.072us          3.072us          1                []                                             
narrow                                0.00%            7.817us          0.00%            18.738us         18.738us         0.00%            19.360us         19.360us         1                []                                             
size                                  0.00%            2.512us          0.00%            2.512us          2.512us          0.00%            3.040us          3.040us          1                []                                             
slice                                 0.00%            5.600us          0.00%            8.409us          8.409us          0.00%            8.192us          8.192us          1                []                                             
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Self CPU time total: 726.420ms
CUDA time total: 1.416s
